;title_aline;day_youtube_aline
127; MANUAL DA POLÍTICA RACIONAL: O QUE É ISSO?;2021-07-15
128; QUANDO SEREMOS CANCELADOS? - LIVE COM KARNAL E MARI PALMA;2021-07-15
129; PERGUNTAS QUE TODO MUNDO SEMPRE QUIS FAZER, MAS NÃO SABIA COMO;2021-07-15
130; ME DÊ MOTIVOS PARA ELOGIAR O BOLSONARO! - REAGINDO A COMENTÁRIOS;2021-07-15
131; NEM TODO MUNDO QUE DISCORDA DE VOCÊ É UM FASCISTA! - POLÍTICA COM ANITTA;2021-07-15
132; ANITTA ENTRE A ESQUERDA E A DIREITA;2021-07-15
133; ANITTA ME DESAFIOU A EXPLICAR POLÍTICA DE FORMA SIMPLES. SERÁ QUE CONSEGUI?;2021-07-15
134; LIVE COM LUCIANO HUCK: POR QUE O BRASILEIRO DISCUTE POLÍTICA COM O ESTÔMAGO?;2021-07-15
135;" ""CHEGOU A HORA DA AUDÁCIA DOS QUE TÊM BOM SENSO"" - GPS Político com Renato Casagrande";2021-07-15
136; OS ESCÂNDALOS DE CORRUPÇÃO DA CPI COM A SENADORA ELIZIANE GAMA;2021-07-15
137; ELEIÇÃO DE BIA KICIS PROVA LISURA DAS URNAS, DIZ GILMAR MENDES;2021-07-15
138; É VERDADE QUE AS URNAS ELETRÔNICAS SÃO FRAUDADAS? - Entrevista com Luís Roberto Barroso;2021-07-15
139; WILLIAN SANTANA NA CPI: UM RESUMO;2021-07-15
140; HELIO DE LA PEÑA - Inteligência Ltda. Podcast #200;2021-07-15
141; Mais que 8 Minutos #086 (Patrick Maia);2021-07-15
142; Mais que 8 Minutos #088 (Hélio de la Peña);2021-07-15
143; A FESTA DE ANIVERSÁRIO DA FILHA DA CARDI B | Diva Depressão;2021-07-15
144; EMANUELA MEDRADES NA CPI: OUTRO RESUMO;2021-07-15
145; GAARA VS RASA - Gaara reencontra seu pai e descobre os reais sentimentos de sua mãe;2021-07-15
146; Sakura humilha sarada e Sasuke apenas olha - Boruto vs Shojoji e Mitsuki acorda.;2021-07-15
147; SASUKE VS SHIN - Sasuke Usa amenoteijikara com Rinnegan e susanoo para salvar Sakura;2021-07-15
148; Sasuke Descobre que Naruto Derrotou Pain  - Sasuke Tenta acerta um Chidori em Tobi;2021-07-15
149; O É da Coisa, com Reinaldo Azevedo - 14/07/2021;2021-07-15
150; KAWAKI CONHECE A KURAMA - KAWAKI DESCOBRE O PASSADO DE NARUTO;2021-07-15
151; Sakura descobre que Naruto a ama;2021-07-15
152; Naruto recebe a notícia que Jiraya morreu | Legendado em PT-BR;2021-07-15
153; Chiyo revive Gaara em troca de sua vida;2021-07-15
154; The Frame 2021;2021-07-15
155; DELEGADO DA CUNHA - Inteligência Ltda. Podcast #144;2021-07-15
156; FELIPE CASTANHARI - Inteligência Ltda. Podcast #204;2021-07-14
157; Reinaldo Azevedo: Golpe uma ova! Isso é terror retórico;2021-07-14
158; 4 reasons why you may HATE BEING a Data Scientist, but LOVE DOING Data Science;2021-07-14
159; E AS FORÇAS ARMADAS, HEIN? E AQUELA NOTA CONTRA A CPI?;2021-07-14
160; 3 Types of Work of a Product Data Scientist | (almost) Everything I do at work;2021-07-14
161; CARIOCA E BOLA FALAM DO IMPOSTOR [DANIEL ZUKERMAN];2021-07-14
162; Ainda bem que é ficção!;2021-07-14
163; Top 10 Filmes de Música;2021-07-14
164; CNN TONIGHT: OTIMISMO– 27/01/2021;2021-07-14
165; CNN TONIGHT: PODER – 26/01/2021;2021-07-14
166; CNN TONIGHT: ÓCIO: POR QUE NÃO?– 25/01/2021;2021-07-14
167; CNN TONIGHT: COM QUE REDE EU VOU – 24/02/2021;2021-07-14
168; CNN TONIGHT: NOVOS MODELOS DE FAMÍLIA - 12/04/2021;2021-07-14
169; CNN TONIGHT: EXPECTATIVA X REALIDADE - 13/07/2021;2021-07-14
170; CNN NOVO DIA - 14/07/2021;2021-07-14
171; O É da Coisa, com Reinaldo Azevedo - 13/07/2021;2021-07-14
172; LIVE: CPI DA COVID OUVE DIRETORA DA PRECISA (AGORA VAI!);2021-07-14
173; EMANUELA MEDRADES NA CPI: UM RESUMO;2021-07-14
174; MITOS E VERDADES SOBRE MERITOCRACIA COM MICHAEL SANDEL!;2021-07-14
175; NO MUNDO ONDE TODO MUNDO ACHA, O CLUBE DO LIVRO É PRA QUEM OUSA SABER! - com Leandro Karnal;2021-07-14
176;" ""CHEGOU A HORA DA AUDÁCIA DOS QUE TÊM BOM SENSO"" - GPS Político com Renato Casagrande";2021-07-14
177;" ""NO BRASIL PARECE QUE O EMPREENDEDOR É CULPADO ATÉ QUE SE PROVE O CONTRÁRIO"" - GPS Político";2021-07-14
178; É VERDADE QUE AS URNAS ELETRÔNICAS SÃO FRAUDADAS? - Entrevista com Luís Roberto Barroso;2021-07-14
179; “É PRECISO DIALOGAR COM TODOS QUE DEFENDEM A DEMOCRACIA” - GPS Político com Manuela D’Ávila;2021-07-14
180; OS ESCÂNDALOS DE CORRUPÇÃO DA CPI COM A SENADORA ELIZIANE GAMA;2021-07-14
181; FELIPE CASTANHARI E IBERÊ THENÓRIO - Flow Podcast #412;2021-07-14
182; COMO A MÚSICA BRASILEIRA CONQUISTOU O MUNDO (LINHA DO TEMPO) | Foquinha FBI;2021-07-13
183; KIM KARDASHIAN: DE ESTRELA DE REALITY A EMPRESÁRIA BILIONÁRIA (LINHA DO TEMPO) | Foquinha FBI;2021-07-13
184; EVOLUÇÃO DO ROCK POR DÉCADAS: DO ROCKABILLY À VOLTA DO POP PUNK EM 2021 | Foquinha FBI;2021-07-13
185; Oasis - Wonderwall  (Official Video);2021-07-13
186; Florence + The Machine - Dog Days Are Over (2010 Version);2021-07-13
187; Fresno - Sutjeska / Farol (CLIPE OFICIAL) (HD);2021-07-13
188; Fresno - 04 - O Único A Perder [Eu Sou A Maré Viva];2021-07-13
189; Fresno - 04 - O Resto É Nada Mais (O Sonho de Um Visconde) [Infinito];2021-07-13
190; Die Lüge;2021-07-13
191; We'll Fight Together;2021-07-13
192; Isso Não É Um Teste;2021-07-13
193; Red Hot Chili Peppers - Dark Necessities [Official Music Video];2021-07-13
194; Fresno - Onde Está (Ao Vivo);2021-07-13
195; Black Pumas - Colors (Official Live Session);2021-07-13
196; Fresno - 01 - À Prova de Balas [Eu Sou A Maré Viva];2021-07-13
197; Tame Impala - The Less I Know the Better (Official Audio);2021-07-13
198; Fresno - 05 - Icarus [Eu Sou A Maré Viva];2021-07-13
199; FRAMING BRITNEY SPEARS | Globoplay | Assista agora;2021-07-13
200; CNN TONIGHT: SAUDADE  – 16/12/2020;2021-07-13
201; CNN TONIGHT: GULA – 12/01/2021;2021-07-13
202; CNN TONIGHT: INVEJA – 11/01/2021;2021-07-13
203; CNN TONIGHT: PREGUIÇA– 14/01/2021;2021-07-13
204; CNN TONIGHT: COMO LIDAR COM FRUSTRAÇÕES  – 03/12/2020;2021-07-13
205; CNN TONIGHT: O PODER DO CONVENCIMENTO  – 18/11/2020;2021-07-13
206; GREG NEWS | BOA NOITE, FAMÍLIA;2021-07-13
207; GREG NEWS | GUERRA PROXY;2021-07-13
208; GREG NEWS | CERCADINHO;2021-07-13
209; GOLPE PROTEGERIA CORRUPÇÃO FARDADA;2021-07-13
210; O melhor de 150 NerdPlayers;2021-07-13
211; O melhor de 450 Nerdplayers;2021-07-13
212; Among Us - Impostor não fala!;2021-07-13
213; Among Us - Quem, EUUUUU?;2021-07-13
214; Phasmophobia - Atividade Paranoobal;2021-07-13
215; Gloomhaven - Mercenários amaldiçoados;2021-07-13
216;" ""Vá opinar no seu país"" e outras pérolas de haters feat. Cifra Oculta | Lendo Comentários 002";2021-07-13
217; Perguntas na quarentena feat. Thiago Ávila |  Feat 012;2021-07-13
218;" ""Bem viver""  (feat. Thiago Ávila) | 050";2021-07-13
219; Veganismo anticapitalista | 019;2021-07-13
220; Como cooptaram o veganismo? com Sandra Guimarães | Feat 001;2021-07-13
221; Por que me tornei vegana | Vlog 010;2021-07-13
222; Paulo Freire e um desabafo | vlog 008;2021-07-13
223; A quem interessa o desmonte do Brasil? | 046;2021-07-13
224; De onde vem seu ANTIPETISMO? | 034;2021-07-12
225; Socialista de iPhone? | 022;2021-07-12
226; Consumismo x Socialismo | 036;2021-07-12
227; Coisa de BURGUÊS | 059;2021-07-12
228; Bilionários do Brasil unidos | 077;2021-07-12
229; E o lítio? Interesses bilionários na América Latina | 071;2021-07-12
230; Bill Gates, o bom bilionário | 090;2021-07-12
231; Anderson do Molejo e MC Maylon: Quem está MENTINDO? (Análise de Linguagem Corporal Metaforando);2021-07-12
232; 5 SINAIS DE FALSOS AMIGOS (Linguagem Corporal - Metaforando);2021-07-12
233;" Como ""DESCOBRIR"" quem ""PRECISA DE AJUDA""? (Análise de Linguagem Corporal - AULA 5)";2021-07-12
234; cringe? GERAÇÃO Z contra MILLENNIALS: o que classe, raça, brasil e sexualidade tem a ver com isso;2021-07-12
235; Mario Sergio Cortella - Não seja um fanático;2021-07-12
236; Mais que 8 Minutos #087 (Daniel Furlan);2021-07-12
237; REAGINDO ÀS REVELAÇÕES MAIS BIZARRAS DO PROGRAMA DO JOÃO KLEBER | Diva Depressão;2021-07-12
238; JORNAL DA DIVA: Lari X Mãe na Disney, Nova Grávida de Taubaté, Sikêra caga pela boca;2021-07-12
239; GREG NEWS | GUERRA PROXY;2021-07-12
240; GREG NEWS | CERCADINHO;2021-07-12
241; ADVOGADO DA FAMÍLIA BOLSONARO AMEAÇA JORNALISTA;2021-07-12
242; VOCÊ SABE A DIFERENÇA ENTRE VÍRUS E PROTOZOÁRIO?;2021-07-12
243; DALAI LAMA & COMPUTAÇÃO QUÂNTICA feat Jorge Luis Borges;2021-07-12
244; Live do dilema;2021-07-12
245; Marvel vs. Capcom: Infinite - A joia dos noobs;2021-07-12
246; Xadrez Verbal Podcast #249 - Posse de Biden e Davos;2021-07-12
247; Xadrez Verbal Podcast #250 - Itália, Equadro e Golpe em Mianmar;2021-07-12
248; Quanto Vale o seu Tempo?;2021-07-12
249; XIAOMI é o futuro;2021-07-12
250; O segredo da MERITOCRACIA;2021-07-12
251; O Futuro da Humanidade;2021-07-12
252; Como o Facebook manipula os seus sentimentos;2021-07-12
253; Você sabe como funciona a Caneta Azul?;2021-07-12
254; O que te faz mudar de ideia?;2021-07-12
255; Como o Nosso Corpo Sabe Quando Parar de Crescer?;2021-07-12
256; GREG NEWS | ARTHUR LIRA;2021-07-12
257; BOLSONARO CONFESSA CRIME DE PREVARICAÇÃO;2021-07-12
258; Novo Blond Absolu Cicaextreme de Kérastase - Tratamento para loiros extremos com descoloração;2021-07-12
259; LIVE: CPI DA COVID OUVE EX-COORDENADORA DO PLANO NACIONAL DE IMUNIZAÇÕES;2021-07-11
260; De onde vieram os Índios? (#Pirula 172);2021-07-11
261; Como o sono e os sonhos influenciam a nossa vida? | Fernanda Lima e Rodrigo Hilbert | Bem Juntinhos;2021-07-11
262;" EDUARDO LEITE E OS GAYS QUE BUSCAM SER ""PADRÃO”. POR QUE LGBTs IRRITAM OS HOMOFÓBICOS?";2021-07-11
263; COMO É ENTREVISTAR FAMOSOS -  ZECA CAMARGO NO FLOW;2021-07-11
264; VELHOS PODEM FAZER TIK TOKS BONS?;2021-07-11
265; “É PRECISO DIALOGAR COM TODOS QUE DEFENDEM A DEMOCRACIA” - GPS Político com Manuela D’Ávila;2021-07-11
266; GREG NEWS | B DE BALBÚRDIA;2021-07-10
267; GREG NEWS | FÉRIAS;2021-07-10
268; GREGNEWS com Gregório Duvivier | Lula e a Conciliação;2021-07-10
269; GREG NEWS com Gregório Duvivier | BOLSONARO;2021-07-10
270; GREG NEWS | TEOCRACIA;2021-07-10
271; GREG NEWS | ARTHUR LIRA;2021-07-10
272; Invasões Alienígenas;2021-07-10
273; Dia da Pizza 2021 | 50% OFF Domino's;2021-07-10
274; Star+ | Mais do que você gosta;2021-07-10
275; Fresno - Milonga (Ao Vivo);2021-07-09
276; Arctic Monkeys - Why'd You Only Call Me When You're High? (Official Video);2021-07-09
277; Kings Of Leon - Use Somebody (Official Video);2021-07-09
278; Fresno - 05 - Icarus [Eu Sou A Maré Viva];2021-07-09
279; Billie Eilish - everything i wanted;2021-07-09
280; Black;2021-07-09
281; Dennis Lloyd - Leftovers | A COLORS SHOW;2021-07-09
282; 21 Savage - a lot (Official Video) ft. J. Cole;2021-07-09
283; Alive (Live) - MTV Unplugged - Pearl Jam;2021-07-09
284; Flume & Chet Faker - Drop the Game [Official Music Video];2021-07-09
285; The Smiths - Stop Me If You Think You've Heard This One Before (Official Music Video);2021-07-09
286; Los hermanos - Assim será;2021-07-09
287; Arctic Monkeys - Snap Out Of It (Official Video);2021-07-09
288; Arctic Monkeys - One For The Road (Official Video);2021-07-09
289; Work Out;2021-07-09
290; Te Amo Disgraça;2021-07-09
291; The Kooks - Naive;2021-07-09
292; Tame Impala - The Less I Know the Better (Official Audio);2021-07-09
293; Lenny Kravitz - Again;2021-07-09
294; Cage The Elephant - Come A Little Closer (Official Video);2021-07-09
295;" Heartless Bastards - ""Only For You""";2021-07-09
296; Gotye - Somebody That I Used To Know (feat. Kimbra) [Official Music Video];2021-07-09
297; Kiss - I Was Made For Lovin' You;2021-07-09
298; LÁZARO BARBOSA ENTRE A FICÇÃO E REALIDADE;2021-07-09
299; QUAIS OS CRIMES DE BOLSONARO NA CONDUÇÃO DA PANDEMIA?;2021-07-09
300; Star+ | Mais do que você gosta;2021-07-10
301; Paramore: The Only Exception [OFFICIAL VIDEO];2021-07-09
302; Red Hot Chili Peppers - Dani California [Official Music Video];2021-07-09
303; Cage The Elephant - Cold Cold Cold;2021-07-09
304; Imagine Dragons - Thunder;2021-07-09
305; Audioslave - Be Yourself (Album Version, Closed Captioned);2021-07-09
306; Paramore: Decode [OFFICIAL VIDEO];2021-07-09
307; The Weeknd - I Feel It Coming ft. Daft Punk (Official Video);2021-07-09
308; Foo Fighters - Run (Official Music Video);2021-07-09
309; Oasis - Wonderwall  (Official Video);2021-07-09
310; Foo Fighters - Everlong (Official HD Video);2021-07-09
311; Dosed;2021-07-09
312; Red Hot Chili Peppers - The Adventures of Rain Dance Maggie [Official Music Video];2021-07-09
313; Red Hot Chili Peppers - Scar Tissue [Official Music Video];2021-07-09
314; Black (Live) - MTV Unplugged - Pearl Jam;2021-07-09
315; Foo Fighters - The Pretender;2021-07-09
316; The Strokes - Reptilia (Official Music Video);2021-07-09
317; Imagine Dragons - Whatever It Takes;2021-07-09
318; The Black Keys - Lonely Boy [Official Music Video];2021-07-09
319; Harry Styles - Adore You (Official Video);2021-07-09
320; Red Hot Chili Peppers - Otherside [Official Music Video];2021-07-09
321; Audioslave - Like a Stone (Official Video);2021-07-09
322; The Strokes - You Only Live Once (Official Music Video);2021-07-09
323; Lana Del Rey - Born To Die (Official Music Video);2021-07-09
324; Wait a Minute!;2021-07-09
325; Sticky Fingers - Cyclone (The Village Sessions);2021-07-09
326; KALEO - Way Down We Go (Official Music Video);2021-07-09
327; Arctic Monkeys - Do I Wanna Know? (Official Video);2021-07-09
328; Black Pumas - Colors (Official Live Session);2021-07-09
329; Red Hot Chili Peppers - Dark Necessities [Official Music Video];2021-07-09
330; DIHH LOPES E AFONSO PADILHA - Flow Podcast #410;2021-07-09
331; The Strokes - Under Cover of Darkness (Official Music Video);2021-07-09
332; The Strokes - The Adults Are Talking (Official Video);2021-07-09
333; The Strokes - Ode To The Mets (Official Video);2021-07-09
334; Fresno - 04 - O Único A Perder [Eu Sou A Maré Viva];2021-07-09
335; A VIDA DEPOIS DO TOMBO | Assista agora no Globoplay;2021-07-09
336; GREG NEWS | CRISE CLIMÁTICA;2021-07-09
337; GREG NEWS | APARELHAMENTO;2021-07-09
338; GREG NEWS | WILSON WITZEL;2021-07-09
339; GREG NEWS | DESPEJO;2021-07-09
340; GREG NEWS | ELEIÇÕES AMERICANAS;2021-07-09
341; GREG NEWS | PORCO DA CHINA;2021-07-09
342; GREG NEWS | COMIDA;2021-07-09
343; GREG NEWS | CARTEIRADA;2021-07-09
344; EXISTE MUNDO ALÉM DE BOLSONARO?;2021-07-09
345; QUEM IRÁ REPRESENTAR A TERCEIRA VIA?;2021-07-09
346;" ""EM MOMENTOS DE CRISE PRESTEM ATENÇÃO NA PALAVRA NOVA"" - GPS Político com Marina Silva";2021-07-09
347;" ""NO BRASIL PARECE QUE O EMPREENDEDOR É CULPADO ATÉ QUE SE PROVE O CONTRÁRIO"" - GPS Político";2021-07-09
348; BOLSONARO E O MAU USO DO DINHEIRO PÚBLICO - UMA LONGA HISTÓRIA!;2021-07-09
349; OS COMPROMISSOS SECRETOS DE BOLSONARO;2021-07-09
350; Red Hot Chili Peppers - Snow [Hey Oh] [Video];2021-07-09
351; Fresno - Eu Sou a Maré Viva (Ao Vivo);2021-07-09
352; The Pretty Reckless - Make Me Wanna Die;2021-07-09
353; Fresno - Sutjeska / Farol (CLIPE OFICIAL) (HD);2021-07-09
354; Fresno - Intro + A Prova de Balas (Ao Vivo);2021-07-09
355; Fresno - Quando Crescer (Ao Vivo);2021-07-09
356; Fresno - Desde Quando Você Se Foi (Ao Vivo);2021-07-09
357; Fresno - Redenção (Ao Vivo);2021-07-09
358; Fresno - A Minha História Não Acaba Aqui (Ao Vivo);2021-07-09
359; Fresno - Milonga (Ao Vivo);2021-07-09
360; Fresno - Onde Está (Ao Vivo);2021-07-09
361; Fresno - 04 - O Resto É Nada Mais (O Sonho de Um Visconde) [Infinito];2021-07-09
362; Top 10 atores versáteis;2021-07-09
363; Fresno - 02 - Manifesto (feat. Lenine e Emicida) [Eu Sou A Maré Viva];2021-07-09
364; Quando Eu Caí;2021-07-09
365; Fresno - Duas Lágrimas (Ao Vivo);2021-07-09
366; Pitty - Pulsos (Ao Vivo);2021-07-09
367; Red Hot Chili Peppers - Dani California [Official Music Video];2021-07-09
368; Fresno - Acordar (Ao Vivo);2021-07-09
369; Fresno - 01 - À Prova de Balas [Eu Sou A Maré Viva];2021-07-09
370; A história por trás de Toy Story;2021-07-09
371; Tame Impala - The Less I Know the Better (Official Audio);2021-07-09
372; Fresno - 04 - O Único A Perder [Eu Sou A Maré Viva];2021-07-09
373; Fresno - 05 - Icarus [Eu Sou A Maré Viva];2021-07-09
374; O melhor da E3 2019!;2021-07-09
375; Megacon, Orlando City e pé frio 👞❄️;2021-07-09
376;" ""SOU UM ADESTRADOR DE LOUCO E O CAOS É A MINHA FAMA"" COM DlOGO DEFANTE";2021-07-08
